"obj_id","group_id","obj_name","priority","objsour","tw_begin","tw_end"
"8995","XL002","2519-2146616-00073773",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8997","XL002","2348-2145383-00075645",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8987","XL002","403678-2143978-00020532",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8998","XL002","23444-2119120-10009551",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"9000","XL002","36340-2117157-00008500",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8992","XL002","3632-2101549-10028578",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8985","XL002","18036-2091035-10002476",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8982","XL002","2997-2085592-10014364",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8988","XL002","3563-2080420-00023251",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8986","XL002","16943-2076339-00031942",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8979","XL002","1743-2072975-10072243",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8996","XL002","38369-2064156-10055091",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8984","XL002","31507-2062953-00001193",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8980","XL002","28316-2057344-10050639",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8990","XL002","286279-2049700-00008399",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8983","XL002","121174-2043111-10049413",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"9005","XL002","65539-2041998-00011537",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8993","XL002","29698-2041843-10034978",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"9008","XL002","413998-2040612-10010403",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"9001","XL002","413997-2040587-10010381",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8981","XL002","1963-2040343-10084977",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"9006","XL002","405644-2039115-10009200",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"9007","XL002","3086-2030558-10087862",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"9004","XL002","2073-2016562-10123238",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8989","XL002","120431-2009528-10064399",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"9002","XL002","1711-2007354-10129647",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8991","XL002","39458-2003604-10081911",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"9003","XL002","97837-1999996-10104819",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8999","XL002","1817-1984411-10130423",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8994","XL002","14335-1973262-10068739",62,"GW_Update_S190510g_observation","2019/05/11 12:20:00","2019/05/11 12:22:42"
"8793","XL001","G0014_34820255",60,"GW_Initial_S190510g_observation","0000/00/00 00:00:00","0000/00/00 00:00:00"
"8794","XL001","G0014_33300085",60,"GW_Initial_S190510g_observation","0000/00/00 00:00:00","0000/00/00 00:00:00"
